theta,int,idk
1.000000,0.00000,0.00000
1.010000,0.10752,0.00000
1.020000,0.10550,0.00000
1.030000,0.10354,0.00000
1.040000,0.10163,0.00000
1.050000,0.09977,0.00000
1.060000,0.09797,0.00000
1.070000,0.09621,0.00000
1.080000,0.09451,0.00000
1.090000,0.09285,0.00000
1.100000,0.09123,0.00000
1.110000,0.08966,0.00000
1.120000,0.08813,0.00000
1.130000,0.08664,0.00000
1.140000,0.08519,0.00000
1.150000,0.08377,0.00000
1.160000,0.08239,0.00000
1.170000,0.08105,0.00000
1.180000,0.07974,0.00000
1.190000,0.07846,0.00000
1.200000,0.07721,0.00000
1.210000,0.07600,0.00000
1.220000,0.07481,0.00000
1.230000,0.07365,0.00000
1.240000,0.07252,0.00000
1.250000,0.07142,0.00000
1.260000,0.07034,0.00000
1.270000,0.06929,0.00000
1.280000,0.06826,0.00000
1.290000,0.06725,0.00000
1.300000,0.06627,0.00000
1.310000,0.06531,0.00000
1.320000,0.06437,0.00000
1.330000,0.06345,0.00000
1.340000,0.06255,0.00000
1.350000,0.06168,0.00000
1.360000,0.06082,0.00000
1.370000,0.05997,0.00000
1.380000,0.05915,0.00000
1.390000,0.05835,0.00000
1.400000,0.05756,0.00000
1.410000,0.05679,0.00000
1.420000,0.05603,0.00000
1.430000,0.05529,0.00000
1.440000,0.05456,0.00000
1.450000,0.05385,0.00000
1.460000,0.05316,0.00000
1.470000,0.05247,0.00000
1.480000,0.05180,0.00000
1.490000,0.05115,0.00000
1.500000,0.05051,0.00000
1.510000,0.04988,0.00000
1.520000,0.04926,0.00000
1.530000,0.04865,0.00000
1.540000,0.04806,0.00000
1.550000,0.04747,0.00000
1.560000,0.04690,0.00000
1.570000,0.04634,0.00000
1.580000,0.04579,0.00000
1.590000,0.04525,0.00000
1.600000,0.04472,0.00000
1.610000,0.04420,0.00000
1.620000,0.04368,0.00000
1.630000,0.04318,0.00000
1.640000,0.04269,0.00000
1.650000,0.04220,0.00000
1.660000,0.04173,0.00000
1.670000,0.04126,0.00000
1.680000,0.04080,0.00000
1.690000,0.04035,0.00000
1.700000,0.03990,0.00000
1.710000,0.03947,0.00000
1.720000,0.03904,0.00000
1.730000,0.03862,0.00000
1.740000,0.03820,0.00000
1.750000,0.03780,0.00000
1.760000,0.03740,0.00000
1.770000,0.03700,0.00000
1.780000,0.03661,0.00000
1.790000,0.03623,0.00000
1.800000,0.03586,0.00000
1.810000,0.03549,0.00000
1.820000,0.03513,0.00000
1.830000,0.03477,0.00000
1.840000,0.03442,0.00000
1.850000,0.03407,0.00000
1.860000,0.03373,0.00000
1.870000,0.03340,0.00000
1.880000,0.03307,0.00000
1.890000,0.03274,0.00000
1.900000,0.03242,0.00000
1.910000,0.03211,0.00000
1.920000,0.03180,0.00000
1.930000,0.03149,0.00000
1.940000,0.03119,0.00000
1.950000,0.03090,0.00000
1.960000,0.03061,0.00000
1.970000,0.03032,0.00000
1.980000,0.03004,0.00000
1.990000,0.02976,0.00000
2.000000,0.02948,0.00000
2.010000,0.02921,0.00000
2.020000,0.02895,0.00000
2.030000,0.02868,0.00000
2.040000,0.02842,0.00000
2.050000,0.02817,0.00000
2.060000,0.02792,0.00000
2.070000,0.02767,0.00000
2.080000,0.02742,0.00000
2.090000,0.02718,0.00000
2.100000,0.02694,0.00000
2.110000,0.02671,0.00000
2.120000,0.02648,0.00000
2.130000,0.02625,0.00000
2.140000,0.02602,0.00000
2.150000,0.02580,0.00000
2.160000,0.02558,0.00000
2.170000,0.02537,0.00000
2.180000,0.02515,0.00000
2.190000,0.02494,0.00000
2.200000,0.02474,0.00000
2.210000,0.02453,0.00000
2.220000,0.02433,0.00000
2.230000,0.02413,0.00000
2.240000,0.02393,0.00000
2.250000,0.02374,0.00000
2.260000,0.02355,0.00000
2.270000,0.02336,0.00000
2.280000,0.02317,0.00000
2.290000,0.02299,0.00000
2.300000,0.02281,0.00000
2.310000,0.02263,0.00000
2.320000,0.02245,0.00000
2.330000,0.02227,0.00000
2.340000,0.02210,0.00000
2.350000,0.02193,0.00000
2.360000,0.02176,0.00000
2.370000,0.02159,0.00000
2.380000,0.02143,0.00000
2.390000,0.02127,0.00000
2.400000,0.02111,0.00000
2.410000,0.02095,0.00000
2.420000,0.02079,0.00000
2.430000,0.02064,0.00000
2.440000,0.02048,0.00000
2.450000,0.02033,0.00000
2.460000,0.02018,0.00000
2.470000,0.02003,0.00000
2.480000,0.01989,0.00000
2.490000,0.01974,0.00000
2.500000,0.01960,0.00000
2.510000,0.01946,0.00000
2.520000,0.01932,0.00000
2.530000,0.01918,0.00000
2.540000,0.01905,0.00000
2.550000,0.01891,0.00000
2.560000,0.01878,0.00000
2.570000,0.01865,0.00000
2.580000,0.01852,0.00000
2.590000,0.01839,0.00000
2.600000,0.01826,0.00000
2.610000,0.01814,0.00000
2.620000,0.01801,0.00000
2.630000,0.01789,0.00000
2.640000,0.01777,0.00000
2.650000,0.01765,0.00000
2.660000,0.01753,0.00000
2.670000,0.01741,0.00000
2.680000,0.01730,0.00000
2.690000,0.01718,0.00000
2.700000,0.01707,0.00000
2.710000,0.01696,0.00000
2.720000,0.01685,0.00000
2.730000,0.01673,0.00000
2.740000,0.01663,0.00000
2.750000,0.01652,0.00000
2.760000,0.01641,0.00000
2.770000,0.01631,0.00000
2.780000,0.01620,0.00000
2.790000,0.01610,0.00000
2.800000,0.01600,0.00000
2.810000,0.01590,0.00000
2.820000,0.01580,0.00000
2.830000,0.01570,0.00000
2.840000,0.01560,0.00000
2.850000,0.01550,0.00000
2.860000,0.01540,0.00000
2.870000,0.01531,0.00000
2.880000,0.01522,0.00000
2.890000,0.01512,0.00000
2.900000,0.01503,0.00000
2.910000,0.01494,0.00000
2.920000,0.01485,0.00000
2.930000,0.01476,0.00000
2.940000,0.01467,0.00000
2.950000,0.01458,0.00000
2.960000,0.01450,0.00000
2.970000,0.01441,0.00000
2.980000,0.01433,0.00000
2.990000,0.01424,0.00000
3.000000,0.01416,0.00000
3.010000,0.01407,0.00000
3.020000,0.01399,0.00000
3.030000,0.01391,0.00000
3.040000,0.01383,0.00000
3.050000,0.01375,0.00000
3.060000,0.01367,0.00000
3.070000,0.01359,0.00000
3.080000,0.01352,0.00000
3.090000,0.01344,0.00000
3.100000,0.01337,0.00000
3.110000,0.01329,0.00000
3.120000,0.01322,0.00000
3.130000,0.01314,0.00000
3.140000,0.01307,0.00000
3.150000,0.01300,0.00000
3.160000,0.01292,0.00000
3.170000,0.01285,0.00000
3.180000,0.01278,0.00000
3.190000,0.01271,0.00000
3.200000,0.01264,0.00000
3.210000,0.01258,0.00000
3.220000,0.01251,0.00000
3.230000,0.01244,0.00000
3.240000,0.01237,0.00000
3.250000,0.01231,0.00000
3.260000,0.01224,0.00000
3.270000,0.01218,0.00000
3.280000,0.01211,0.00000
3.290000,0.01205,0.00000
3.300000,0.01199,0.00000
3.310000,0.01192,0.00000
3.320000,0.01186,0.00000
3.330000,0.01180,0.00000
3.340000,0.01174,0.00000
3.350000,0.01168,0.00000
3.360000,0.01162,0.00000
3.370000,0.01156,0.00000
3.380000,0.01150,0.00000
3.390000,0.01144,0.00000
3.400000,0.01138,0.00000
3.410000,0.01133,0.00000
3.420000,0.01127,0.00000
3.430000,0.01121,0.00000
3.440000,0.01116,0.00000
3.450000,0.01110,0.00000
3.460000,0.01105,0.00000
3.470000,0.01099,0.00000
3.480000,0.01094,0.00000
3.490000,0.01088,0.00000
3.500000,0.01083,0.00000
3.510000,0.01078,0.00000
3.520000,0.01073,0.00000
3.530000,0.01067,0.00000
3.540000,0.01062,0.00000
3.550000,0.01057,0.00000
3.560000,0.01052,0.00000
3.570000,0.01047,0.00000
3.580000,0.01042,0.00000
3.590000,0.01037,0.00000
3.600000,0.01032,0.00000
3.610000,0.01027,0.00000
3.620000,0.01023,0.00000
3.630000,0.01018,0.00000
3.640000,0.01013,0.00000
3.650000,0.01008,0.00000
3.660000,0.01004,0.00000
3.670000,0.00999,0.00000
3.680000,0.00995,0.00000
3.690000,0.00990,0.00000
3.700000,0.00985,0.00000
3.710000,0.00981,0.00000
3.720000,0.00977,0.00000
3.730000,0.00972,0.00000
3.740000,0.00968,0.00000
3.750000,0.00963,0.00000
3.760000,0.00959,0.00000
3.770000,0.00955,0.00000
3.780000,0.00951,0.00000
3.790000,0.00946,0.00000
3.800000,0.00942,0.00000
3.810000,0.00938,0.00000
3.820000,0.00934,0.00000
3.830000,0.00930,0.00000
3.840000,0.00926,0.00000
3.850000,0.00922,0.00000
3.860000,0.00918,0.00000
3.870000,0.00914,0.00000
3.880000,0.00910,0.00000
3.890000,0.00906,0.00000
3.900000,0.00902,0.00000
3.910000,0.00898,0.00000
3.920000,0.00894,0.00000
3.930000,0.00891,0.00000
3.940000,0.00887,0.00000
3.950000,0.00883,0.00000
3.960000,0.00879,0.00000
3.970000,0.00876,0.00000
3.980000,0.00872,0.00000
3.990000,0.00868,0.00000
4.000000,0.00865,0.00000
4.010000,0.00861,0.00000
4.020000,0.00858,0.00000
4.030000,0.00854,0.00000
4.040000,0.00851,0.00000
4.050000,0.00847,0.00000
4.060000,0.00844,0.00000
4.070000,0.00840,0.00000
4.080000,0.00837,0.00000
4.090000,0.00834,0.00000
4.100000,0.00830,0.00000
4.110000,0.00827,0.00000
4.120000,0.00824,0.00000
4.130000,0.00820,0.00000
4.140000,0.00817,0.00000
4.150000,0.00814,0.00000
4.160000,0.00811,0.00000
4.170000,0.00808,0.00000
4.180000,0.00804,0.00000
4.190000,0.00801,0.00000
4.200000,0.00798,0.00000
4.210000,0.00795,0.00000
4.220000,0.00792,0.00000
4.230000,0.00789,0.00000
4.240000,0.00786,0.00000
4.250000,0.00783,0.00000
4.260000,0.00780,0.00000
4.270000,0.00777,0.00000
4.280000,0.00774,0.00000
4.290000,0.00771,0.00000
4.300000,0.00768,0.00000
4.310000,0.00765,0.00000
4.320000,0.00762,0.00000
4.330000,0.00760,0.00000
4.340000,0.00757,0.00000
4.350000,0.00754,0.00000
4.360000,0.00751,0.00000
4.370000,0.00748,0.00000
4.380000,0.00746,0.00000
4.390000,0.00743,0.00000
4.400000,0.00740,0.00000
4.410000,0.00737,0.00000
4.420000,0.00735,0.00000
4.430000,0.00732,0.00000
4.440000,0.00729,0.00000
4.450000,0.00727,0.00000
4.460000,0.00724,0.00000
4.470000,0.00722,0.00000
4.480000,0.00719,0.00000
4.490000,0.00716,0.00000
4.500000,0.00714,0.00000
4.510000,0.00711,0.00000
4.520000,0.00709,0.00000
4.530000,0.00706,0.00000
4.540000,0.00704,0.00000
4.550000,0.00701,0.00000
4.560000,0.00699,0.00000
4.570000,0.00697,0.00000
4.580000,0.00694,0.00000
4.590000,0.00692,0.00000
4.600000,0.00689,0.00000
4.610000,0.00687,0.00000
4.620000,0.00685,0.00000
4.630000,0.00682,0.00000
4.640000,0.00680,0.00000
4.650000,0.00678,0.00000
4.660000,0.00675,0.00000
4.670000,0.00673,0.00000
4.680000,0.00671,0.00000
4.690000,0.00669,0.00000
4.700000,0.00666,0.00000
4.710000,0.00664,0.00000
4.720000,0.00662,0.00000
4.730000,0.00660,0.00000
4.740000,0.00658,0.00000
4.750000,0.00655,0.00000
4.760000,0.00653,0.00000
4.770000,0.00651,0.00000
4.780000,0.00649,0.00000
4.790000,0.00647,0.00000
4.800000,0.00645,0.00000
4.810000,0.00643,0.00000
4.820000,0.00641,0.00000
4.830000,0.00639,0.00000
4.840000,0.00636,0.00000
4.850000,0.00634,0.00000
4.860000,0.00632,0.00000
4.870000,0.00630,0.00000
4.880000,0.00628,0.00000
4.890000,0.00626,0.00000
4.900000,0.00624,0.00000
4.910000,0.00622,0.00000
4.920000,0.00621,0.00000
4.930000,0.00619,0.00000
4.940000,0.00617,0.00000
4.950000,0.00615,0.00000
4.960000,0.00613,0.00000
4.970000,0.00611,0.00000
4.980000,0.00609,0.00000
4.990000,0.00607,0.00000
5.000000,0.00605,0.00000
5.010000,0.00603,0.00000
5.020000,0.00602,0.00000
5.030000,0.00600,0.00000
5.040000,0.00598,0.00000
5.050000,0.00596,0.00000
5.060000,0.00594,0.00000
5.070000,0.00593,0.00000
5.080000,0.00591,0.00000
5.090000,0.00589,0.00000
5.100000,0.00587,0.00000
5.110000,0.00586,0.00000
5.120000,0.00584,0.00000
5.130000,0.00582,0.00000
5.140000,0.00580,0.00000
5.150000,0.00579,0.00000
5.160000,0.00577,0.00000
5.170000,0.00575,0.00000
5.180000,0.00574,0.00000
5.190000,0.00572,0.00000
