theta,int,idk
1.000000,0.00000,0.00000
1.010000,0.14974,0.00000
1.020000,0.14693,0.00000
1.030000,0.14419,0.00000
1.040000,0.14153,0.00000
1.050000,0.13895,0.00000
1.060000,0.13644,0.00000
1.070000,0.13400,0.00000
1.080000,0.13162,0.00000
1.090000,0.12931,0.00000
1.100000,0.12706,0.00000
1.110000,0.12487,0.00000
1.120000,0.12274,0.00000
1.130000,0.12066,0.00000
1.140000,0.11864,0.00000
1.150000,0.11667,0.00000
1.160000,0.11475,0.00000
1.170000,0.11288,0.00000
1.180000,0.11105,0.00000
1.190000,0.10928,0.00000
1.200000,0.10754,0.00000
1.210000,0.10585,0.00000
1.220000,0.10419,0.00000
1.230000,0.10258,0.00000
1.240000,0.10101,0.00000
1.250000,0.09947,0.00000
1.260000,0.09797,0.00000
1.270000,0.09650,0.00000
1.280000,0.09507,0.00000
1.290000,0.09367,0.00000
1.300000,0.09230,0.00000
1.310000,0.09096,0.00000
1.320000,0.08965,0.00000
1.330000,0.08837,0.00000
1.340000,0.08712,0.00000
1.350000,0.08590,0.00000
1.360000,0.08470,0.00000
1.370000,0.08353,0.00000
1.380000,0.08239,0.00000
1.390000,0.08126,0.00000
1.400000,0.08017,0.00000
1.410000,0.07909,0.00000
1.420000,0.07804,0.00000
1.430000,0.07701,0.00000
1.440000,0.07600,0.00000
1.450000,0.07501,0.00000
1.460000,0.07404,0.00000
1.470000,0.07309,0.00000
1.480000,0.07215,0.00000
1.490000,0.07124,0.00000
1.500000,0.07035,0.00000
1.510000,0.06947,0.00000
1.520000,0.06861,0.00000
1.530000,0.06776,0.00000
1.540000,0.06694,0.00000
1.550000,0.06612,0.00000
1.560000,0.06533,0.00000
1.570000,0.06454,0.00000
1.580000,0.06378,0.00000
1.590000,0.06302,0.00000
1.600000,0.06228,0.00000
1.610000,0.06156,0.00000
1.620000,0.06085,0.00000
1.630000,0.06015,0.00000
1.640000,0.05946,0.00000
1.650000,0.05878,0.00000
1.660000,0.05812,0.00000
1.670000,0.05747,0.00000
1.680000,0.05683,0.00000
1.690000,0.05620,0.00000
1.700000,0.05558,0.00000
1.710000,0.05498,0.00000
1.720000,0.05438,0.00000
1.730000,0.05379,0.00000
1.740000,0.05321,0.00000
1.750000,0.05265,0.00000
1.760000,0.05209,0.00000
1.770000,0.05154,0.00000
