theta,int
3.48037,0.00000
3.48037,0.00000
3.48880,0.00000
3.48880,0.00000
6.96395,16.77664
6.96395,16.77664
6.98083,8.35336
6.98083,8.35336
8.73864,0.00000
8.73864,0.00000
8.73864,0.00000
8.73864,0.00000
8.75985,0.00000
8.75985,0.00000
8.75985,0.00000
8.75985,0.00000
9.40871,0.00000
9.40871,0.00000
9.40871,0.00000
9.40871,0.00000
9.40871,0.00000
9.40871,0.00000
9.40871,0.00000
9.40871,0.00000
9.43155,0.00000
9.43155,0.00000
9.43155,0.00000
9.43155,0.00000
9.43155,0.00000
9.43155,0.00000
9.43155,0.00000
9.43155,0.00000
10.45399,0.00000
10.45399,0.00000
10.47938,0.00000
10.47938,0.00000
11.18254,0.00000
11.18254,0.00000
11.18254,0.00000
11.18254,0.00000
11.18254,0.00000
11.18254,0.00000
11.18254,0.00000
11.18254,0.00000
11.20971,0.00000
11.20971,0.00000
11.20971,0.00000
11.20971,0.00000
11.20971,0.00000
11.20971,0.00000
11.20971,0.00000
11.20971,0.00000
12.37034,0.00000
12.37034,0.00000
12.37034,0.00000
12.37034,0.00000
12.40042,0.00000
12.40042,0.00000
12.40042,0.00000
12.40042,0.00000
12.85430,0.03702
12.85430,0.03702
12.85430,0.03702
12.85430,0.03702
12.85430,0.03702
12.85430,0.03702
12.85430,0.03702
12.85430,0.03702
12.88556,0.01841
12.88556,0.01841
12.88556,0.01841
12.88556,0.01841
12.88556,0.01841
12.88556,0.01841
12.88556,0.01841
12.88556,0.01841
13.64098,0.00000
13.64098,0.00000
13.64098,0.00000
13.64098,0.00000
13.64098,0.00000
13.64098,0.00000
13.64098,0.00000
13.64098,0.00000
13.67417,0.00000
13.67417,0.00000
13.67417,0.00000
13.67417,0.00000
13.67417,0.00000
13.67417,0.00000
13.67417,0.00000
13.67417,0.00000
13.95378,18.54978
13.95378,18.54978
13.98774,9.23610
13.98774,9.23610
14.20920,0.00000
14.20920,0.00000
14.20920,0.00000
14.20920,0.00000
14.20920,0.00000
14.20920,0.00000
14.20920,0.00000
14.20920,0.00000
14.24379,0.00000
14.24379,0.00000
14.24379,0.00000
14.24379,0.00000
14.24379,0.00000
14.24379,0.00000
14.24379,0.00000
14.24379,0.00000
16.22246,0.97636
16.22246,0.97636
16.22246,0.97636
16.22246,0.97636
16.22246,0.97636
16.22246,0.97636
16.22246,0.97636
16.22246,0.97636
16.26202,0.48556
16.26202,0.48556
16.26202,0.48556
16.26202,0.48556
16.26202,0.48556
16.26202,0.48556
16.26202,0.48556
16.26202,0.48556
16.48739,0.00000
16.48739,0.00000
16.48739,0.00000
16.48739,0.00000
16.48739,0.00000
16.48739,0.00000
16.48739,0.00000
16.48739,0.00000
16.52760,0.00000
16.52760,0.00000
16.52760,0.00000
16.52760,0.00000
16.52760,0.00000
16.52760,0.00000
16.52760,0.00000
16.52760,0.00000
17.46671,0.00000
17.46671,0.00000
17.50935,0.00000
17.50935,0.00000
17.52863,0.06557
17.52863,0.06557
17.52863,0.06557
17.52863,0.06557
17.57141,0.03262
17.57141,0.03262
17.57141,0.03262
17.57141,0.03262
17.87615,1.22351
17.87615,1.22351
17.87615,1.22351
17.87615,1.22351
17.87615,1.22351
17.87615,1.22351
17.87615,1.22351
17.87615,1.22351
17.91980,0.60902
17.91980,0.60902
17.91980,0.60902
17.91980,0.60902
17.91980,0.60902
17.91980,0.60902
17.91980,0.60902
17.91980,0.60902
18.68863,0.00000
18.68863,0.00000
18.68863,0.00000
18.68863,0.00000
18.68863,0.00000
18.68863,0.00000
18.68863,0.00000
18.68863,0.00000
18.73430,0.00000
18.73430,0.00000
18.73430,0.00000
18.73430,0.00000
18.73430,0.00000
18.73430,0.00000
18.73430,0.00000
18.73430,0.00000
18.88162,0.00840
18.88162,0.00840
18.88162,0.00840
18.88162,0.00840
18.88162,0.00840
18.88162,0.00840
18.88162,0.00840
18.88162,0.00840
18.92777,0.00418
18.92777,0.00418
18.92777,0.00418
18.92777,0.00418
18.92777,0.00418
18.92777,0.00418
18.92777,0.00418
18.92777,0.00418
19.56141,0.00000
19.56141,0.00000
19.56141,0.00000
19.56141,0.00000
19.56141,0.00000
19.56141,0.00000
19.56141,0.00000
19.56141,0.00000
19.60926,0.00000
19.60926,0.00000
19.60926,0.00000
19.60926,0.00000
19.60926,0.00000
19.60926,0.00000
19.60926,0.00000
19.60926,0.00000
19.61694,0.00000
19.61694,0.00000
19.61694,0.00000
19.61694,0.00000
19.61694,0.00000
19.61694,0.00000
19.61694,0.00000
19.61694,0.00000
19.66492,0.00000
19.66492,0.00000
19.66492,0.00000
19.66492,0.00000
19.66492,0.00000
19.66492,0.00000
19.66492,0.00000
19.66492,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.92931,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
19.97807,0.00000
20.45162,0.90094
20.45162,0.90094
20.45162,0.90094
20.45162,0.90094
20.45162,0.90094
20.45162,0.90094
20.45162,0.90094
20.45162,0.90094
20.50169,0.44776
20.50169,0.44776
20.50169,0.44776
20.50169,0.44776
20.50169,0.44776
20.50169,0.44776
20.50169,0.44776
20.50169,0.44776
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.83946,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.89050,0.00000
20.99627,12.35813
20.99627,12.35813
21.04770,6.14207
21.04770,6.14207
21.45975,0.40174
21.45975,0.40174
21.45975,0.40174
21.45975,0.40174
21.45975,0.40174
21.45975,0.40174
21.45975,0.40174
21.45975,0.40174
21.51234,0.19980
21.51234,0.19980
21.51234,0.19980
21.51234,0.19980
21.51234,0.19980
21.51234,0.19980
21.51234,0.19980
21.51234,0.19980
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.27742,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.33207,0.00000
22.47339,0.01266
22.47339,0.01266
22.47339,0.01266
22.47339,0.01266
22.47339,0.01266
22.47339,0.01266
22.47339,0.01266
22.47339,0.01266
22.52853,0.00630
22.52853,0.00630
22.52853,0.00630
22.52853,0.00630
22.52853,0.00630
22.52853,0.00630
22.52853,0.00630
22.52853,0.00630
22.78044,0.00000
22.78044,0.00000
22.78044,0.00000
22.78044,0.00000
22.78044,0.00000
22.78044,0.00000
22.78044,0.00000
22.78044,0.00000
22.83635,0.00000
