,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5,z_Ba_layer6,z_S_layer6,z_diff_layer6
0,0,1.0,1.2220729577777776,0.8908537550693976,0.33121920270838,6.0039020165972214,5.955562136597221,0.048339880000000335,10.973693461249999,10.964783892708333,0.008909568541666246,15.970555188263887,15.970315218263888,0.00023996999999909008,20.967903351180553,20.976573117569444,-0.008669766388891276,25.93619764034722,25.98570970125,-0.04951206090277793,30.71856988333333,31.05043520923611,-0.33186532590277906
1,1,6.0201005025125625,1.222564663611111,0.8910130459027295,0.3315516177083815,6.004606994027777,5.955750721527776,0.04885627250000102,10.973952503819444,10.964879413819444,0.00907308999999934,15.97060881909722,15.970476056666664,0.0001327624305567099,20.968003879166663,20.976953604513888,-0.008949725347225268,25.936552911597218,25.985979671666662,-0.04942676006944424,30.718837360833326,31.050659142291668,-0.3318217814583413
2,2,11.040201005025125,1.222876827708333,0.8904843702082831,0.33239245750005,6.004043828680555,5.955257827013887,0.04878600166666747,10.973500807708334,10.964642057430556,0.008858750277777716,15.970525714652776,15.970327376458332,0.00019833819444414758,20.967536705486108,20.97672025708333,-0.009183551597221395,25.93672898597222,25.986120084791665,-0.049391098819445034,30.718630513263886,31.050936177986102,-0.3323056647222167
3,3,16.060301507537687,1.2236336181944445,0.890121706805508,0.33351191138893654,6.004250538680555,5.954993751805556,0.04925678687499957,10.973606142013887,10.96458513361111,0.009021008402777753,15.97130379680555,15.97079335659722,0.0005104402083304649,20.968263247777777,20.97749818708333,-0.009234939305553524,25.93774580659722,25.98707916333333,-0.049333356736109835,30.718763879374997,31.05192375013889,-0.3331598707638932
4,4,21.08040201005025,1.2246318213888887,0.8902572154860694,0.3343746059028193,6.004132865069443,5.955123315138888,0.049009549930555174,10.973570377499998,10.964936814444444,0.00863356305555385,15.971910120902773,15.971691965277776,0.00021815562499760688,20.96934325048611,20.97831297180555,-0.008969721319441959,25.939317490624994,25.987994930486106,-0.048677439861112504,30.71907173479167,31.053150077222217,-0.3340783424305478
5,5,26.100502512562812,1.224177632986111,0.8891562274999542,0.3350214054861568,6.00260563111111,5.954404777499999,0.04820085361111115,10.973305326180554,10.964536615069441,0.008768711111112992,15.97102245909722,15.97120078736111,-0.0001783282638889716,20.96938593986111,20.978011696805552,-0.008625756944443452,25.940089887361108,25.988289312638884,-0.04819942527777599,30.71903243222222,31.053820202430554,-0.33478777020833306
6,6,31.120603015075375,1.223488735833333,0.8877582574999551,0.335730478333378,6.000990210624999,5.95297980986111,0.048010400763889294,10.972639281805554,10.963537587291666,0.009101694513887537,15.970655862013887,15.970309230624999,0.0003466313888882411,20.969274042291666,20.977420750902777,-0.008146708611111109,25.940224736041664,25.988009442013887,-0.04778470597222295,30.717695540208336,31.053642423124998,-0.3359468829166623
7,7,36.14070351758794,1.224216116388889,0.8876773741666232,0.33653874222226576,6.000784940763889,5.953246879583332,0.04753806118055692,10.972861461944442,10.963963610763887,0.008897851180554639,15.970874442916662,15.969983315763889,0.0008911271527729525,20.968095265902775,20.977154782361108,-0.009059516458332695,25.939880983194442,25.987251314791664,-0.04737033159722159,30.716682196041663,31.05330576513888,-0.3366235690972168
8,8,41.1608040201005,1.2242873127083331,0.8870482647221787,0.33723904798615445,6.0000118082638885,5.952870392291666,0.04714141597222277,10.97255984138889,10.963491506666665,0.009068334722224236,15.970715332777774,15.96969047972222,0.0010248530555543311,20.968073365555554,20.977193778541665,-0.009120412986110438,25.940089565416663,25.98734934020833,-0.047259774791665876,30.71574901541666,31.05328983645833,-0.3375408210416708
9,9,46.18090452261306,1.224286872986111,0.8865292914582853,0.33775758152782565,6.000874388124998,5.953342353680554,0.04753203444444409,10.973480640347221,10.964569941666666,0.008910698680555384,15.972468547986105,15.97145908048611,0.0010094674999958642,20.969928150208332,20.979488575138888,-0.0095604249305552,25.942869697916663,25.98983878805555,-0.04696909013888728,30.71690367986111,31.055787383472218,-0.3388837036111063
