Angle,PSD
5.0001,38
5.01543,48
5.03076,43
5.0461,40
5.06143,46
5.07676,38
5.09209,41
5.10742,35
5.12276,36
5.13809,39
5.15342,38
5.16875,25
5.18408,49
5.19942,28
5.21475,25
5.23008,29
5.24541,27
5.26075,48
5.27608,39
5.29141,35
5.30674,48
5.32207,43
5.33741,29
5.35274,32
5.36807,32
5.3834,30
5.39873,39
5.41407,29
5.4294,38
5.44473,29
5.46006,35
5.47539,22
5.49073,41
5.50606,40
5.52139,31
5.53672,33
5.55205,34
5.56739,35
5.58272,25
5.59805,40
5.61338,20
5.62872,27
5.64405,25
5.65938,36
5.67471,26
5.69004,30
5.70538,31
5.72071,32
5.73604,23
5.75137,28
5.7667,32
5.78204,29
5.79737,32
5.8127,28
5.82803,27
5.84336,23
5.8587,31
5.87403,21
5.88936,39
5.90469,33
5.92002,32
5.93536,29
5.95069,26
5.96602,41
5.98135,30
5.99669,30
6.01202,37
6.02735,39
6.04268,22
6.05801,33
6.07335,37
6.08868,29
6.10401,26
6.11934,20
6.13467,33
6.15001,23
6.16534,26
6.18067,36
6.196,32
6.21133,20
6.22667,24
6.242,30
6.25733,26
6.27266,22
6.28799,25
6.30333,26
6.31866,34
6.33399,14
6.34932,32
6.36466,29
6.37999,24
6.39532,25
6.41065,23
6.42598,28
6.44132,29
6.45665,25
6.47198,26
6.48731,19
6.50264,17
6.51798,20
6.53331,32
6.54864,15
6.56397,25
6.5793,22
6.59464,12
6.60997,27
6.6253,23
6.64063,20
6.65596,19
6.6713,28
6.68663,23
6.70196,20
6.71729,18
6.73262,22
6.74796,29
6.76329,15
6.77862,17
6.79395,20
6.80929,16
6.82462,19
6.83995,19
6.85528,28
6.87061,17
6.88595,16
6.90128,16
6.91661,26
6.93194,14
6.94727,13
6.96261,20
6.97794,24
6.99327,31
7.0086,16
7.02393,15
7.03927,11
7.0546,27
7.06993,19
7.08526,24
7.10059,12
7.11593,13
7.13126,21
7.14659,24
7.16192,22
7.17726,17
7.19259,18
7.20792,23
7.22325,23
7.23858,17
7.25392,21
7.26925,17
7.28458,17
7.29991,22
7.31524,17
7.33058,16
7.34591,14
7.36124,7
7.37657,14
7.3919,20
7.40724,13
7.42257,16
7.4379,15
7.45323,19
7.46856,14
7.4839,23
7.49923,14
7.51456,16
7.52989,19
7.54523,12
7.56056,24
7.57589,18
7.59122,23
7.60655,10
7.62189,11
7.63722,9
7.65255,26
7.66788,13
7.68321,18
7.69855,20
7.71388,17
7.72921,13
7.74454,12
7.75987,16
7.77521,24
7.79054,12
7.80587,16
7.8212,14
7.83653,17
7.85187,19
7.8672,17
7.88253,14
7.89786,11
7.9132,8
7.92853,13
7.94386,23
7.95919,20
7.97452,18
7.98986,18
8.00519,23
8.02052,20
8.03585,19
8.05118,19
8.06652,21
8.08185,18
8.09718,19
8.11251,20
8.12784,16
8.14318,23
8.15851,16
8.17384,18
8.18917,13
8.2045,12
8.21984,20
8.23517,14
8.2505,17
8.26583,17
8.28116,23
8.2965,12
8.31183,4
8.32716,18
8.34249,18
8.35783,20
8.37316,15
8.38849,13
8.40382,18
8.41915,14
8.43449,15
8.44982,14
8.46515,10
8.48048,20
8.49581,21
8.51115,22
8.52648,13
8.54181,19
8.55714,18
8.57247,14
8.58781,20
8.60314,21
8.61847,23
8.6338,14
8.64913,16
8.66447,21
8.6798,7
8.69513,22
8.71046,18
8.7258,19
8.74113,21
8.75646,23
8.77179,22
8.78712,20
8.80246,14
8.81779,23
8.83312,18
8.84845,21
8.86378,26
8.87912,17
8.89445,21
8.90978,27
8.92511,18
8.94044,25
8.95578,26
8.97111,20
8.98644,27
9.00177,15
9.0171,25
9.03244,21
9.04777,18
9.0631,22
9.07843,18
9.09377,21
9.1091,16
9.12443,22
9.13976,17
9.15509,16
9.17043,27
9.18576,26
9.20109,18
9.21642,18
9.23175,20
9.24709,23
9.26242,15
9.27775,17
9.29308,19
9.30841,16
9.32375,25
9.33908,20
9.35441,22
9.36974,19
9.38507,30
9.40041,9
9.41574,21
9.43107,28
9.4464,19
9.46173,17
9.47707,22
9.4924,19
9.50773,15
9.52306,23
9.5384,20
9.55373,21
9.56906,26
9.58439,22
9.59972,29
9.61506,26
9.63039,18
9.64572,17
9.66105,16
9.67638,18
9.69172,29
9.70705,26
9.72238,24
9.73771,23
9.75304,22
9.76838,20
9.78371,31
9.79904,16
9.81437,19
9.8297,19
9.84504,26
9.86037,14
9.8757,19
9.89103,27
9.90637,21
9.9217,27
9.93703,35
9.95236,17
9.96769,15
9.98303,30
9.99836,21
10.0137,22
10.029,22
10.0444,23
10.0597,27
10.075,19
10.0904,20
10.1057,28
10.121,30
10.1363,24
10.1517,33
10.167,24
10.1823,18
10.1977,27
10.213,17
10.2283,25
10.2437,24
10.259,23
10.2743,28
10.2897,30
10.305,15
10.3203,24
10.3357,23
10.351,23
10.3663,23
10.3817,22
10.397,19
10.4123,21
10.4277,25
10.443,32
10.4583,29
10.4737,25
10.489,22
10.5043,31
10.5196,30
10.535,28
10.5503,21
10.5656,23
10.581,25
10.5963,28
10.6116,30
10.627,22
10.6423,36
10.6576,32
10.673,14
10.6883,31
10.7036,22
10.719,27
10.7343,27
10.7496,20
10.765,31
10.7803,30
10.7956,30
10.811,37
10.8263,37
10.8416,23
10.857,42
10.8723,27
10.8876,30
10.903,33
10.9183,33
10.9336,34
10.9489,30
10.9643,27
10.9796,38
10.9949,35
11.0103,70
