v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
     1.000000                       0.005655          0.000001
     1.100000                       0.005669          0.000001
     1.200000                       0.005682          0.000001
     1.300000                       0.005696          0.000001
     1.400000                       0.005710          0.000001
     1.500000                       0.005724          0.000001
     1.600000                       0.005738          0.000002
     1.700000                       0.005752          0.000002
     1.800000                       0.005767          0.000002
     1.900000                       0.005781          0.000002
     2.000000                       0.005796          0.000002
     2.100000                       0.005810          0.000002
     2.200000                       0.005825          0.000002
     2.300000                       0.005840          0.000002
     2.400000                       0.005855          0.000002
     2.500000                       0.005870          0.000002
     2.600000                       0.005885          0.000002
     2.700000                       0.005900          0.000002
     2.800000                       0.005916          0.000002
     2.900000                       0.005931          0.000002
     3.000000                       0.005947          0.000002
     3.100000                       0.005962          0.000002
     3.200000                       0.005978          0.000002
     3.300000                       0.005994          0.000002
     3.400000                       0.006010          0.000002
     3.500000                       0.006026          0.000002
     3.600000                       0.006043          0.000002
     3.700000                       0.006059          0.000002
     3.800000                       0.006076          0.000002
     3.900000                       0.006092          0.000002
     4.000000                       0.006109          0.000002
     4.100000                       0.006126          0.000002
     4.200000                       0.006143          0.000002
     4.300000                       0.006161          0.000002
     4.400000                       0.006178          0.000002
     4.500000                       0.006195          0.000002
     4.600000                       0.006213          0.000002
     4.700000                       0.006231          0.000002
     4.800000                       0.006249          0.000002
     4.900000                       0.006267          0.000002
     5.000000                       0.006285          0.000002
     5.100000                       0.006303          0.000002
     5.200000                       0.006322          0.000002
     5.300000                       0.006341          0.000002
     5.400000                       0.006360          0.000002
     5.500000                       0.006379          0.000002
     5.600000                       0.006398          0.000002
     5.700000                       0.006417          0.000002
     5.800000                       0.006437          0.000002
     5.900000                       0.006456          0.000002
     6.000000                       0.006476          0.000002
     6.100000                       0.006496          0.000002
     6.200000                       0.006516          0.000002
     6.300000                       0.006537          0.000002
     6.400000                       0.006557          0.000002
     6.500000                       0.006578          0.000002
     6.600000                       0.006599          0.000002
     6.700000                       0.006620          0.000002
     6.800000                       0.006642          0.000002
     6.900000                       0.006663          0.000002
     7.000000                       0.006685          0.000002
     7.100000                       0.006707          0.000002
     7.200000                       0.006729          0.000002
     7.300000                       0.006752          0.000002
     7.400000                       0.006774          0.000002
     7.500000                       0.006797          0.000002
     7.600000                       0.006820          0.000002
     7.700000                       0.006843          0.000002
     7.800000                       0.006867          0.000002
     7.900000                       0.006891          0.000002
     8.000000                       0.006915          0.000002
     8.100000                       0.006939          0.000002
     8.200000                       0.006963          0.000002
     8.300000                       0.006988          0.000002
     8.400000                       0.007013          0.000002
     8.500000                       0.007038          0.000002
     8.600000                       0.007064          0.000002
     8.700000                       0.007090          0.000002
     8.800000                       0.007116          0.000002
     8.900000                       0.007142          0.000002
     9.000000                       0.007169          0.000002
     9.100000                       0.007196          0.000002
     9.200000                       0.007223          0.000002
     9.300000                       0.007251          0.000002
     9.400000                       0.007279          0.000002
     9.500000                       0.007307          0.000002
     9.600000                       0.007335          0.000002
     9.700000                       0.007364          0.000002
     9.800000                       0.007394          0.000002
     9.900000                       0.007423          0.000002
