v [cm$^{-1}$]    I [$\AA^{4}$ amu$^{-1}$]
    23.888283                    6.202089
    24.136284                    8.566226
    28.794929                    0.422725
    28.913987                    0.085075
    62.572685                   23.143253
    63.943724                   15.596888
    70.265050                   97.731324
    90.574107                  156.564256
    92.529283                  167.047616
    98.698999                   31.244085
   101.757759                    7.552974
   101.921106                    8.699022
   110.352799                   76.837932
   125.791600                    0.204991
   125.922965                    0.085178
   126.140783                    0.137591
   200.968021                   57.552119
   350.057467                 4187.233416
   350.789978                    0.449881
   350.914053                    0.000000
   351.499144                    7.675391
   403.926303                  803.456140
